Assembly	miniasm_nanopore	miniasm_nanopore_illumina
# misassemblies	0	0
  # contig misassemblies	0	0
    # c. relocations	0	0
    # c. translocations	0	0
    # c. inversions	0	0
  # scaffold misassemblies	0	0
    # s. relocations	0	0
    # s. translocations	0	0
    # s. inversions	0	0
# misassembled contigs	0	0
Misassembled contigs length	0	0
# local misassemblies	0	0
# scaffold gap ext. mis.	0	0
# scaffold gap loc. mis.	0	0
# unaligned mis. contigs	68	196
# mismatches	1548	12230
# indels	68	847
    # indels (<= 5 bp)	68	834
    # indels (> 5 bp)	0	13
Indels length	97	1274
