All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     spades_illumina_pe  smart_nanopore  smart_hifi    miniasm_nanopore  miniasm_hifi  
# contigs (>= 0 bp)          289852              480             142           812               988           
# contigs (>= 1000 bp)       9252                480             142           812               988           
# contigs (>= 5000 bp)       1276                480             142           807               988           
# contigs (>= 10000 bp)      297                 480             142           736               978           
# contigs (>= 25000 bp)      13                  418             140           559               825           
# contigs (>= 50000 bp)      1                   270             129           312               519           
Total length (>= 0 bp)       65623110            65586891        52432191      65527457          79841692      
Total length (>= 1000 bp)    27530705            65586891        52432191      65527457          79841692      
Total length (>= 5000 bp)    10894296            65586891        52432191      65508376          79841692      
Total length (>= 10000 bp)   4255994             65586891        52432191      64946245          79762260      
Total length (>= 25000 bp)   444026              64306924        52399583      61902955          76680860      
Total length (>= 50000 bp)   50535               58649891        51987596      53091890          65914207      
# contigs                    18763               480             142           812               988           
Largest contig               50535               3385294         2693633       2389453           1215607       
Total length                 34172975            65586891        52432191      65527457          79841692      
Reference length             40703773            40703773        40703773      40703773          40703773      
GC (%)                       47.66               50.22           47.32         48.80             47.10         
Reference GC (%)             47.63               47.63           47.63         47.63             47.63         
N50                          2945                794686          761856        183020            117368        
NG50                         2130                1890453         1309644       466190            222876        
N75                          1215                91524           307505        61701             63500         
NG75                         732                 1158933         641907        228607            155312        
L50                          2913                18              19            68                178           
LG50                         4214                9               12            24                54            
L75                          7508                128             44            241               411           
LG75                         12743               15              25            56                108           
# misassemblies              269                 0               1905          0                 0             
# misassembled contigs       222                 0               95            0                 0             
Misassembled contigs length  688874              0               46572596      0                 0             
# local misassemblies        439                 0               1009          0                 0             
# scaffold gap ext. mis.     1                   0               0             0                 0             
# scaffold gap loc. mis.     2049                0               0             0                 0             
# unaligned mis. contigs     271                 25              6             68                761           
# unaligned contigs          682 + 825 part      438 + 42 part   8 + 108 part  686 + 126 part    202 + 786 part
Unaligned length             3418488             65478701        4773152       65475084          78352989      
Genome fraction (%)          72.599              0.078           96.305        0.063             3.605         
Duplication ratio            1.041               3.416           1.216         2.032             1.015         
# N's per 100 kbp            658.24              0.00            0.00          0.00              0.00          
# mismatches per 100 kbp     324.05              12857.59        550.66        6006.52           2552.12       
# indels per 100 kbp         94.06               786.23          194.43        263.85            0.41          
Largest alignment            50335               6636            1455867       1083              203           
Total aligned length         30374329            108202          47586516      52373             1488703       
NA50                         2097                -               166578        -                 -             
NGA50                        1464                -               260749        -                 -             
NA75                         823                 -               45013         -                 -             
NGA75                        -                   -               119103        -                 -             
LA50                         3665                -               70            -                 -             
LGA50                        5534                -               42            -                 -             
LA75                         10456               -               211           -                 -             
LGA75                        -                   -               100           -                 -             
